epoch,loss,mean_absolute_error,lr
0,7.52004561945796e-05,0.0046258666552603245,9.999999960041972e-13
1,4.7815469770284835e-06,0.0012045495677739382,9.999999960041972e-13
2,1.55966824877396e-06,0.000886245456058532,9.999999960041972e-13
3,8.886991054168902e-07,0.0007817334844730794,9.999999960041972e-13
4,7.17137368155818e-07,0.0007451636483892798,9.999999960041972e-13
5,6.709033755214477e-07,0.0007270626956596971,9.999999960041972e-13
6,6.586338940905989e-07,0.0007184214773587883,9.999999960041972e-13
7,6.55562814699806e-07,0.000717585498932749,9.999999960041972e-13
8,6.548661986016668e-07,0.0007173737976700068,9.999999960041972e-13
9,6.547169846271572e-07,0.0007172689074650407,9.999999960041972e-13
10,6.546648592120619e-07,0.0007172164623625576,9.999999960041972e-13
11,6.546777058247244e-07,0.0007172012119553983,9.499999528359004e-13
12,6.546689519382198e-07,0.0007171984179876745,9.499999528359004e-13
13,6.546755457748077e-07,0.0007171981269493699,9.499999528359004e-13
14,6.546764552695095e-07,0.0007171971374191344,9.499999528359004e-13
15,6.54678672162845e-07,0.000717197370249778,9.499999528359004e-13
16,6.546775921378867e-07,0.0007171969045884907,9.499999528359004e-13
17,6.546768531734415e-07,0.000717196729965508,9.499999528359004e-13
18,6.546770237036981e-07,0.0007171968463808298,9.499999528359004e-13
19,6.546770237036981e-07,0.0007171968463808298,9.499999528359004e-13
